# FROM<TAB>TO<TAB>REASON. Patterns are exact or end in /....
github.com/josephjohncox/effectus/compiler/...	github.com/josephjohncox/effectus/runtime/...	compiler must remain independent from runtime execution
github.com/josephjohncox/effectus/compiler/...	github.com/josephjohncox/effectus/internal/daemon/...	compiler must not acquire daemon transport code
github.com/josephjohncox/effectus/schema/...	github.com/josephjohncox/effectus/runtime/...	schema definitions must remain independent from runtime execution
github.com/josephjohncox/effectus/schema/...	github.com/josephjohncox/effectus/internal/daemon/...	schema definitions must not acquire daemon transport code
github.com/josephjohncox/effectus/embedded	github.com/josephjohncox/effectus/internal/daemon/...	embedded facade must not acquire daemon transport code
github.com/josephjohncox/effectus/embedded	github.com/josephjohncox/effectus/internal/unified/...	embedded facade must not expose legacy bundle models
github.com/josephjohncox/effectus/runtime/...	github.com/josephjohncox/effectus/cmd/...	runtime packages must not depend on CLI implementations
github.com/josephjohncox/effectus	github.com/josephjohncox/effectus/internal/...	root compatibility interfaces must not depend on internal implementations
github.com/josephjohncox/effectus/compat/...	github.com/josephjohncox/effectus/internal/...	publishable compatibility packages must use public root APIs only
github.com/josephjohncox/effectus/...	github.com/josephjohncox/effectus/internal/unified/...	legacy unified bundles are not a production authority
github.com/josephjohncox/effectus/...	github.com/josephjohncox/effectus/internal/list/...	legacy list compilation is not a production authority
github.com/josephjohncox/effectus/...	github.com/josephjohncox/effectus/internal/flow/...	legacy flow compilation is not a production authority
github.com/josephjohncox/effectus/...	github.com/josephjohncox/effectus/internal/loader/...	extension loading is not a production authority
github.com/josephjohncox/effectus/...	github.com/josephjohncox/effectus/analysis	language analysis is internal-only
github.com/josephjohncox/effectus/...	github.com/josephjohncox/effectus/ast	language AST is internal-only
github.com/josephjohncox/effectus/...	github.com/josephjohncox/effectus/common	generic common helpers are internal-only
github.com/josephjohncox/effectus/...	github.com/josephjohncox/effectus/lint	language lint is internal-only
github.com/josephjohncox/effectus/...	github.com/josephjohncox/effectus/pathutil	path utilities are internal-only
github.com/josephjohncox/effectus/...	github.com/josephjohncox/effectus/util	generic utilities are internal-only
